state,district,disease,cases,deaths,start_date,report_date,status,comments,year,month,week
kerala,kottayam,mumps,6,0,2026-01-28,2026-01-30,under surveillance,"Cases of fever with parotid gland swelling were reported from Village Nedumkunnam, Sub-District Changanassery, District Kottayam. District RRT investigated the outbreak. House to house fever survey was done. Cases were students of Little Flower Vidyanikethan School. Cases were clinically diagnosed with Mumps. The affected age group was 5-7 years. School authorities and parents of school going children were informed about the symptoms of disease and home isolation for 7 days. Community awareness and health education was given by the peripheral team on hygiene maintenance and proper nutrition.",2026,1,5
kerala,idukki,food poisoning,52,0,2026-01-27,2026-01-29,under surveillance,"Cases of loose motion, vomiting and abdominal pain were reported from Village Mannamkandam, Sub- District Devikulam, District Idukki. District RRT investigated the outbreak. Cases fell ill after consuming food at a community gathering. All cases were treated at PHC Deviyar colony. Both children and adults were affected. Community awareness and health education was",2026,1,5
madhya pradesh,dewas,chickenpox,7,0,2026-01-27,2026-01-27,under surveillance,"Cases of fever with rash were reported from DPS School, Village Kshipra, Sub-District/District Dewas. District RRT investigated the outbreak. Active search for fever cases was done. Cases were treated symptomatically. Cases were in the age group 6-40 years. 4 serum samples collected, tested negative for V. zoster (IgM ELISA). Cases were clinically diagnosed with chickenpox. Community awareness and health education given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2026,1,5
kerala,kozhikode,mpox,1,0,2026-01-27,2026-01-27,under surveillance,"A case was reported from Village Kallipara (ward 6) Sub-District Thamar a, District Kozhikode. The patient was a 24 years old male who returned from Dubai to India (Kozhikode) on 21.01.2026. He was working as a shopkeeper in a shop in Dubai. He developed fever on 14.01.2026 and was examined at a hospital in Dubai on 18.01.2026. On 20.01.2026, after rashes appeared on his body, he returned home. From the airport, he was accompanied by his mother and he arrived home. Due to rashes on his body, he was examined at the Dermatology Department of KMCT Hospital, Puduppady on 21.01.2026 and got admitted there. Samples were sent to VRDL, Kozhikode for Mpox testing. On",2026,1,5
kerala,palakkad,chickenpox,12,0,2026-01-27,2026-01-27,under surveillance,"Cases of fever with rash were reported from Village Kuzhalmannam-I, Sub-District Alathur, District Palakkad.. District RRT investigated the outbreak. Cases were fifth standard students of Good Shepherd School. Cases were treated symptomatically. Community awareness and health education was given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2026,1,5
kerala,thiruvananthapuram,food poisoning,29,0,2026-01-27,2026-01-27,under surveillance,"Cases of loose motion, abdominal pain and vomiting were reported from Village Chempazhanthy, Sub-District Thiruvananthapuram, District Thiruvananthapuram. District RRT investigated the outbreak. Cases fell ill after consuming food at a hotel. Cases were treated at health facilities.",2026,1,5
assam,kamrup,acute gastroenteritis,137,0,2026-01-27,2026-01-29,under surveillance,"Cases of loose watery stool and vomiting were reported from Villages Jobepara, Bhogdabari and Rangsipara, Sub-District Boko, District Kamrup. District RRT investigated the outbreak. House to house survey was done. Cases of all age groups were affected. All cases had attended a marriage ceremony. Cases were treated at Boko CHC and Kalyani Hospital, Boko. 4 rectal swab samples collected and sent to DPHL, Kamrup showed presence of gram negative bacilli. 2 water samples collected were non-potable.",2026,1,5
tamil nadu,coimbatore,food poisoning,83,0,2026-01-26,2026-01-26,under surveillance,"Cases were reported from Village Vellakinar, Sub-District Coimbatore South, District Coimbatore. District RRT investigated the outbreak. On 24.01.26, after taking dinner from the Ganga Nursing College canteen, 45 students of the girls hostel developed symptoms of abdominal pain and loose stools. All students were treated at Ganga hospital on an outpatient basis. The food was cooked at a common kitchen and was dispensed to gents and ladies hostel mess separately. A medical camp was conducted at the hostel campus to screen all students. The food safety officer was informed and kitchen inspection was carried out. The affected age group was 18-23 years. Community awareness and health education was given by the peripheral team on safe food habits, hygiene and sanitation.",2026,1,5
andhra pradesh,prakasam,chickenpox,18,0,2026-01-26,2026-01-29,under surveillance,"Cases of fever with vesicular rash were reported from Dr. B.R. Ambedkar Gurukul Boys High School, Village NSP Colony, Sub- District Darsi, District Prakasam. District RRT investigated the outbreak. The affected age group was 11-17 years. Cases were treated symptomatically. 3 blood samples collected tested negative for V. zoster (IgM ELISA). Cases were clinically diagnosed with chickenpox. Thorough cleaning and disinfection of dormitory rooms were carried out. Community awareness and health education given by the peripheral team on spread of infection, isolation of cases, hygiene and sanitation.",2026,1,5
kerala,thrissur,mumps,34,0,2026-01-26,2026-01-26,under surveillance,"Cases of fever with parotid gland swelling were reported from Village Kuttoor (CT), Sub-District/District Thrissur. District RRT investigated the outbreak. House to house fever survey was done. Cases were first standard school students. All cases were treated symptomatically. Cases were in the age group 6-8 years. Parents and school authorities were instructed to identify symptomatic cases and isolation for 7 days. Community awareness and health education given by the peripheral team on hygiene maintenance and proper nutrition.",2026,1,5
odisha,nabarangpur,measles,8,0,2026-01-25,2026-01-26,under surveillance,"Cases of fever with maculopapular rash were reported from Dhodra Ashram School, Village Dhodra, Sub- District Umarkote, District Nabarangpur. District RRT investigated the outbreak. Active search for fever cases was done. Cases were treated symptomatically. The affected age group was 7-13 years. Cases were clinically diagnosed with Measles. Community awareness and health education was given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2026,1,4
uttar pradesh,farrukhabad,measles,15,0,2026-01-25,2026-01-29,under surveillance,"Cases of fever with rash were reported from Village Pilkhana, Sub- District Kaimganj, District Farrukhabad. District RRT investigated the outbreak. Active search for fever cases was done in the affected area. All cases were treated symptomatically. Cases were in the age group 2-7 years. All 5 blood samples collected and sent to SGPGI Lucknow, tested positive for Measles (IgM ELISA). Vitamin A supplementation of 2 doses was given to cases. Community awareness and health education was given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2026,1,4
andhra pradesh,ananthapuramu,acute diarrheal disease,22,0,2026-01-24,2026-01-24,under control,"Cases of loose watery stools were reported from Village Udegolam, Sub-District Kanekal, District Ananthapuramu. District RRT investigated the outbreak. House to house survey was done. The affected age group was 6-14 years. The cases were treated at CHC Kanekal. A medical camp was conducted in the elementary school. Chlorine tablets were distributed to the households. Community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2026,1,4
gujarat,rajkot,measles,7,0,2026-01-24,2026-01-27,under surveillance,"Cases of fever with rash were reported from Rajkot City, Sub- District Rajkot East, District Rajkot. District RRT investigated the outbreak. The affected age group was 2-15 years. 6 serum samples were tested by Anti-Measles IgM ELISA and 1 blood sample was tested by",2026,1,4
gujarat,panchmahal,measles,13,0,2026-01-24,2026-01-27,under surveillance,"Cases of fever with rash were reported from Village Halol, Sub- District Halol, District Panch Mahals. District RRT investigated the outbreak. Active search for fever cases was done. The affected age group was 9 months-8 years. Symptomatic treatment was given to cases. 1 throat swab sample was tested by PCR and was negative. 2 blood samples collected, tested positive for Measles (IgM ELISA). Community awareness and health education was given by the peripheral team on the spread of infection, isolation of cases, hygiene and sanitation.",2026,1,4
tamil nadu,villupuram,chickenpox,13,0,2026-01-24,2026-01-24,under surveillance,"Cases of fever with vesicular rash were reported from Village Vengandur, Sub-district Villupuram, District Villupuram. District RRT investigated the outbreak. Active search for fever cases was done in the locality. The affected age group was 6-11 years. 12 serum samples were",2026,1,4
madhya pradesh,ashoknagar,measles,8,0,2026-01-23,2026-01-23,under control,"Cases of fever with rash were reported from Village Bhagwanpur, Sub-district Isagarh, District Ashoknagar. District RRT investigated the outbreak. The affected age group was 3-10 years. Out of 7 blood samples collected, 4 samples tested positive for Measles (IgM ELISA). Among the affected children, 5 were vaccinated against MR. Health camp and fever survey was conducted by the health team. Immunization and vitamin A supplement was conducted. Community awareness and health education given by the peripheral team on spread of infection, isolation of cases, hygiene and sanitation.",2026,1,4
chhattisgarh,rajnandgaon,acute diarrheal disease,10,0,2026-01-23,2026-01-27,under surveillance,"Cases of loose stools and vomiting were reported from Village Nagaldah, Sub-District Rajnandgaon, District Rajnandgaon. District RRT investigated the outbreak. House to house survey was done. Cases were treated at a health camp established in the locality. 4 patients were treated at CHC Ghumka. 5 stool samples collected and sent to GMC Rajnandgaon for Cholera and all tested negative. Chlorine tablets were distributed to the households. Community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2026,1,4
chhattisgarh,raigarh,chickenpox,12,0,2026-01-23,2026-01-28,under surveillance,"Cases of fever with rash were reported from Ambedkar Awas, Sub- District/District Raigarh. District RRT investigated the outbreak. Active search for fever cases was",2026,1,4
gujarat,ahmedabad,acute gastroenteritis,67,0,2026-01-23,2026-01-24,under control,"Cases of vomiting and stomach pain were reported from Village Kauka, Sub-District Dholka, District Ahmadabad. District RRT investigated the outbreak. The cases had consumed sweets at an engagement ceremony. The affected age group was 3-73 years. 5 vomitus samples were tested by culture at",2026,1,4
kerala,ernakulam,acute gastroenteritis,14,0,2026-01-22,2026-01-22,under surveillance,"Cases of fever, loose stools and vomiting were reported from the Cardinal LP School, Thrikkakara, Village Vazhakala Sub-district, Kanayannur, District Ernakulam. District RRT investigated the outbreak. The affected age group was 5-7 years. It is reported that students were probably infected through contact with the index case and exposure to vomitus. The classroom was subsequently cleaned and disinfected. Community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2026,1,4
kerala,kozhikode,mpox,1,0,2026-01-22,2026-01-22,under surveillance,"A case was reported from Mavoor Panchayath, Sub-District/District Kozhikode. A 46-year-old male returned from Dammam, Saudi Arabia to Kozhikode on 18.01.2026. He developed fever on 10.01.2026, followed by an ulcer over the coronal sulcus near the glans penis and multiple papulo-vesicular lesions over the upper limbs, lower limbs, and trunk on 12.01.2026. He initially consulted at Badr Medical Center, Dammam, and was started on Tablet Acyclovir. After returning to Kozhikode on 18.01.2026, he consulted at GMC Kozhikode on the same day, with follow-up visits on 19.01.2026 and 20.01.2026. On 20.01.2026, samples were collected, and he was advised strict home isolation. On 21.01.2026, Mpox RT- PCR was reported positive from VRDL Kozhikode. Mpox virus (Clade I) was detected positive at NIV Pune on 26.01.2026. The first follow- up sample, a swab from the genital ulcer, was Mpox RT-PCR positive (NIV Pune, 29.01.2026). A total of 25 contacts were identified (Family: 3; Flight: 22). The second follow-up",2026,1,4
uttar pradesh,lucknow,acute gastroenteritis,21,0,2026-01-22,2026-01-23,under surveillance,"Cases of loose motion, vomiting and abdominal pain were reported from M C Saxena College of Engineering and Technology, Lucknow City, CHC Kakori, District Lucknow. District RRT investigated the outbreak. Cases fell ill after consuming food at the college canteen. Most of the cases were treated at Balrampur Hospital, Lucknow. Community awareness and health education was given by the peripheral team on safe food habits, hygiene and sanitation.",2026,1,4
karnataka,hassan,chickenpox,8,0,2026-01-22,2026-01-23,under surveillance,"Cases of fever with rash were reported from Maranayakanahalli Government School, Village Maranayakanahalli, Sub-district Hole Narsipur, District Hassan. District RRT investigated the outbreak. The affected age group was 5-14 years. Fever survey was conducted in the village. All suspected cases were isolated at home and managed",2026,1,4
jharkhand,westsinghbhum,chickenpox,13,0,2026-01-22,2026-01-22,under surveillance,"Cases of fever with vesicular rash were reported from Village Padapahar, Sub-district Noamundi, District West Singhbum. District RRT investigated the outbreak. Active search for fever cases was done in the affected area. Cases were treated at PHC Noamundi. The affected age group was 22-33 years. All 5 blood samples collected tested negative for chickenpox by IgM ELISA). Cases were clinically diagnosed with chickenpox. Community awareness and health education was given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2026,1,4
chhattisgarh,janjgir- champa,acute gastroenteritis,13,0,2026-01-22,2026-01-23,under surveillance,"Cases of nausea, headache, abdominal cramps, vomiting and fever were reported from Aatmanand Middle School, Sub-District Pamgarh, District Janjgir-Champa. District RRT investigated the outbreak. The affected age group was 8-18 years. The students had consumed a long time preserved food as a mid-day meal. All students were provided with symptomatic treatment. A medical camp was organized at the school. Community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2026,1,4
jharkhand,westsinghbhum,chickenpox,22,0,2026-01-21,2026-01-21,under surveillance,"Cases of fever with vesicular rash were reported from Village Baihatu, Sub-district Goilkera, District West",2026,1,4
kerala,kozhikode,food poisoning,55,0,2026-01-21,2026-01-21,under surveillance,"Cases of loose motion, vomiting and abdominal pain were reported from Village Kavilumpara, Sub-district Vatakara, District Kozhikode. District RRT investigated the outbreak. Cases developed symptoms 4-5 hours after consuming food at a marriage function. Cases were treated at PHC Kunduthode. All cases recovered. Both children and adults were affected. Community awareness and health education given by the peripheral team on safe food habits, hygiene and sanitation.",2026,1,4
kerala,kannur,jaundice,18,0,2026-01-21,2026-01-22,under surveillance,"Cases of fever, vomiting, headache, and tiredness were reported from Village Peringome, Sub-district Payyannur, District Kannur. District RRT investigated the outbreak. A cluster of Hepatitis A cases was reported from Athaskiya Islamic Model Academy Madrasa in Peringome–Vayakkara Panchayath, Ward 16. A total of 17 students living in the madrasa hostel fell ill. Cases were treated at TH Peringome. Blood tests done on cases, showed increased levels of liver enzymes. Water sample collected from the madrasa well showed presence of E. coli, indicating faecal contamination and a likely source of infection. Cases were in the age group 8-48 years. Superchlorination of well was done. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2026,1,4
karnataka,bidar,chickenpox,20,0,2026-01-21,2026-01-22,under control,"Cases of fever with vesicular rash were reported from Village Hallikhed (K) Wadi, Sub-district Homnabad, District Bidar. District RRT investigated the outbreak. Active search for fever cases was done in the affected area. All cases were treated symptomatically. Cases were in the age group 2-37 years. A temporary clinic was established in the affected area, where all cases received treatment from the Medical Officer and dedicated staff. 4 blood samples were collected and sent to Bangalore Medical College and Research Institute (BMCRI) for virus detection. All 4 samples tested negative for chickenpox (IgM ELISA). Cases were clinically diagnosed with Chickenpox. Community awareness and health education given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2026,1,4
tamil nadu,mayiladuthurai,chickenpox,14,0,2026-01-21,2026-01-21,under control,"Cases of fever and rash were reported from Village Arasur, Sub-district Sirkali, District Mayiladuthurai. District RRT investigated the outbreak. Active search for fever cases was done in the locality. The affected age group was 4-40 years. 3 serum samples were tested at King Institute Preventive Medicine and Research, Chennai. 2 samples tested positive for Varicella zoster (IgM ELISA). Community awareness and health education given by the peripheral team on spread of infection, isolation of cases, hygiene and sanitation.",2026,1,4
jharkhand,westsinghbhum,chickenpox,10,0,2026-01-21,2026-01-21,under surveillance,"Cases of fever with rash were reported from Village Ulihatu, Sub- district Kumardungi, District West Singhbum. District RRT investigated the outbreak. Active search for fever cases was done. Symptomatic treatment was given to cases. The affected age group was 25-30 years. All 6 blood samples collected tested negative for chickenpox by IgM ELISA). Cases were clinically diagnosed with chickenpox. Community awareness and health education given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2026,1,4
kerala,idukki,chickenpox,17,0,2026-01-20,2026-01-24,under surveillance,"Cases of fever, headache and blister- like rash were reported from Village Vazhathope, Sub-district Idukki, District Idukki. District RRT investigated the outbreak. The age group of 16-17 years was predominantly affected. All cases were clinically diagnosed.",2026,1,4
tamil nadu,villupuram,hepatitis,24,0,2026-01-20,2026-01-22,under surveillance,"Cases of fever, abdominal pain, nausea and jaundice were reported from Village Tollamur, Sub-district Vanur, District Villupuram. District RRT investigated the outbreak. House to house survey was done. Cases were treated at health facilities. The affected age group was 3-13 years. 24 serum samples were tested at GVMCH (VRDL), Villupuram for Anti-HEV and Anti-HAV IgM by ELISA. 8 samples tested positive for Hepatitis A. Community awareness and health education given by the peripheral team on safe drinking",2026,1,4
tamil nadu,villupuram,chickenpox,16,0,2026-01-20,2026-01-22,under surveillance,"Cases of fever with vesicular rash were reported from Village Ariyalur Thirukkai, Sub-district Villupuram, District Villupuram. District RRT investigated the outbreak. Active search for fever cases was done in the locality. The affected age group was 6-13 years. 9 serum samples were tested at GVMCH (VRDL), Villupuram. 8 samples tested positive for Chickenpox (VZV IgG ELISA Paired Sera Testing). Community awareness and health education given by the peripheral team on spread of infection, isolation of cases, hygiene and sanitation.",2026,1,4
bihar,katihar,measles,7,0,2026-01-20,2026-01-20,"cases of fever with rash were reported from village ghoramani tola, sub- district barsoi, district katihar. block rrt investigated the outbreak. the affected age group was 5 months-38 years. out of 5 blood samples collected, 1 sample tested positive for measles (igm elisa). community awareness and health education given by the peripheral team on spread of infection, isolation of cases, hygiene and sanitation.",nan,2026,1,4
madhya pradesh,morena,measles,9,0,2026-01-20,2026-01-20,under surveillance,"Cases of fever with rash were reported from Village Tikari, Sub- district/District Morena. District RRT investigated the outbreak. Active search for fever cases was done. Cases were treated symptomatically. Cases were in the age group 5-14 years. Out of 9 blood samples",2026,1,4
bihar,purbichamparan,measles,19,0,2026-01-20,2026-01-21,under surveillance,"Cases of fever with rash were reported from Villages Semari (Ward no. 8, 9 & 10), Siswa (Ward no. 7, 8) and Kanana (Ward no. 1, 12), Sub- District Raxaul, District Purbi",2026,1,4
tamil nadu,namakkal,acute gastroenteritis,34,0,2026-01-20,2026-01-20,under control,"Cases of headache, giddiness, and loose stools were reported from Village Seiluvampatti, Sub-District Namakkal, District Namakkal.",2026,1,4
kerala,kottayam,mumps,17,0,2026-01-20,2026-01-21,under surveillance,"Cases of fever with parotid gland swelling were reported from St John's The Baptist's English School, Village Nedumkunnam, Sub-district Changanassery, District Kottayam. District RRT investigated the outbreak. Cases were students of play school, UKG and LKG section. The affected age group was 4-6 years.",2026,1,4
jharkhand,jamtara,chickenpox,5,0,2026-01-20,2026-01-21,under surveillance,"Cases of fever with rash were reported from Village Majhladih, Sub-district Karmathanr, District Jamtara. District RRT investigated the outbreak. Active search for fever cases was done. Cases were treated symptomatically. Cases were in the age group 7-30 years. All 5 blood samples collected and sent to RIMS Ranchi tested positive for V. zoster (IgM ELISA). Community awareness and health education given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2026,1,4
karnataka,gadag,chikungunya,47,0,2026-01-20,2026-01-21,under surveillance,"Cases of fever with joint pain and myalgia were reported from Village Sankadal, Sub-district Nargund,",2026,1,4
jharkhand,latehar,typhoid,30,0,2026-01-19,2026-01-19,under surveillance,"Cases of fever, nausea, abdominal pain were reported from Village Jungur- Banri- Barwadih, Sub-district Manika, District Latehar. District RRT investigated the outbreak.House to house survey was done. Cases were treated at CHC Manika. Cases were in the age group 1-66 years. Out of 30 blood samples collected, 16 samples tested positive for S. typhi by Widal test. Chlorination of water sources was done. Health education was given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2026,1,4
maharashtra,thane,food poisoning,80,0,2026-01-19,2026-01-23,under surveillance,"Cases of loose motion, vomiting and abdominal pain were reported from Mohan Pride guest house, Khadakpada, District Thane. District RRT investigated the outbreak. Cases fell ill after eating food at a mehendi ceremony. Cases were treated at CHC KDMC Ansari Chowk. All cases recovered. Cases were in the age group 13-83 years. Community awareness and health education was given by the peripheral team on vector control measures, hygiene and sanitation.",2026,1,4
odisha,sundargarh,chickenpox,6,0,2026-01-19,2026-01-19,under surveillance,"Cases of fever with rash were reported from Village Gargan Dunia Urmei, Sub-district Hatibari, District Sundargarh. District RRT investigated the outbreak. Active search for fever cases was done in the locality. Cases were treated symptomatically. Cases were in the age group 7-10 years. Community awareness and health education was given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2026,1,4
